QEMU_INTERACTION_PHASE boot=1 phase=x-socket
CONTROL_f33bedec28031a1da0ceec59 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_20fa9ff16fce6f84b385ba5a status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_4913bb9e2394b9573feb64ae status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_c3916c536fa603eadab1b8e2 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_ceb00106524959299a930702 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_d8cbb043f8aa09baa58026cd status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_2dfe5132acd83787ce4de74a status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_f686f1d4a68f873d8c4bff56 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_b4d8729c7461936e5db29a27 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_23cec0369fca956a406b0eed status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_c6cde5a67994a3184a70393a status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
{
  "passed": true,
  "reason": "pass",
  "input_sha256": {
    "kernel": "c4c22a9e6c51247eb20f266a58791089b704cf2f981566201dd99dc3041d216c",
    "u_boot": "738775f52dcfad98dfae4b851a6dc3118db30bbe6455c7df3573a84133db8a5d",
    "dtb": "586d1136aed48f8935a35febe0cf7d68fe44892215ab81209def62ffdb000142",
    "stage1_initramfs": "872e38f947e18c225f2df47a645d419c04c42d536a6c5f518226dbc9d243593d",
    "root_image": "bd855c9855e6734cb5e154d488d7c1899f9c1949ac01dae87cd0fc88702e35cf",
    "manifest": "1465d690e049a9ddd8eec2b8e7c4611dbea2fd112f53bcae224b6dd17ce16243",
    "packages_lock": "aa92c0471dbd9c08b3adfce97235f78dc625054296fe37adce5afa0a77ce9966",
    "package_checksums": "e827046a3f0f5ae381e39159436197e7c8e4c9ebfdc02aeee578138c74af4fad"
  },
  "final_root_sha256": "f07919381b174d5969f3d41113c8355a07586a861b8c237d52b4aeb70701bb69",
  "profile": "browser-web",
  "debian_release": "13.7",
  "experiment": "native",
  "physical": false,
  "debug_console": {
    "uid": 0,
    "pid1": "systemd",
    "root_device": "/dev/vdb",
    "root_filesystem": "ext2",
    "graphical_state": "active",
    "desktop_state": "active"
  },
  "target": "browser",
  "network_fixture": {
    "payload_path": "/asterinas-network-probe.bin",
    "payload_sha256": "7daca2095d0438260fa849183dfc67faa459fdf4936e1bc91eec6b281b27e4c2",
    "payload_size": 65536,
    "records_truncated": false,
    "request_count": 0,
    "requests": [],
    "schema_version": 1,
    "workload_max_active": 0,
    "workload_records_truncated": false,
    "workload_request_count": 0,
    "workload_requests": []
  },
  "qemu_argv": [
    [
      "qemu-system-riscv64",
      "-machine",
      "virt",
      "-cpu",
      "rv64,sv48=false,svpbmt=true,zkr=true,svadu=false,svade=true",
      "-m",
      "2G",
      "-smp",
      "4",
      "-display",
      "none",
      "-netdev",
      "user,id=net0",
      "-device",
      "virtio-net-device,netdev=net0",
      "-serial",
      "stdio",
      "-no-reboot",
      "-kernel",
      "/tmp/asterinas-debian-qemu-b1-h4wib_i9/u-boot",
      "-drive",
      "if=none,format=raw,file=/proc/self/fd/12/boot.ext4,id=bootdisk,readonly=on",
      "-device",
      "bochs-display",
      "-device",
      "virtio-keyboard-device",
      "-device",
      "virtio-tablet-device",
      "-device",
      "virtio-blk-device,drive=bootdisk",
      "-drive",
      "if=none,format=raw,file=/proc/self/fd/12/debian-root.run.ext2,id=rootdisk,cache=directsync",
      "-device",
      "virtio-blk-device,drive=rootdisk",
      "-monitor",
      "unix:/tmp/asterinas-debian-qemu-b1-h4wib_i9/monitor.sock,server=on,wait=off",
      "-qmp",
      "unix:/tmp/asterinas-debian-qemu-b1-h4wib_i9/physical-input.qmp,server=on,wait=off"
    ]
  ],
  "screenshot": {}
}
